time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:00:00Z,WRK,45.069,-77.870,1002.8,-5.0,NaN,-7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,110,1.028888,AO1 SOG 14 5019
2016-01-16 00:00:00Z,WRN,45.349,-60.979,1011.0,-4.8,NaN,-10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,280,10.803324,AO1 51018
2016-01-16 00:00:00Z,WRT,49.630,-114.480,NaN,-9.0,NaN,-10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,120,3.086664,AO1
2016-01-16 00:00:00Z,WRY,49.130,-112.050,1020.1,-12.1,NaN,-13.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,2.057776,AO1 SOG 10 1010
2016-01-16 00:00:00Z,WRZ,48.419,-64.319,1008.1,-9.5,NaN,-14.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,270,5.14444,AO1 51028
2016-01-16 00:00:00Z,WSA,43.930,-60.020,1012.5,0.0,0.125,-7.0,NaN,NaN,0.125,900.0,NaN,NaN,NaN,NaN,9.0,,280,9.774436,
2016-01-16 00:00:00Z,WSD,46.430,-63.849,1011.1,-8.7,NaN,-14.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,270,5.14444,AO1 SOG 04 1010
2016-01-16 00:00:00Z,WSF,49.250,-65.330,1008.8,-8.0,NaN,-11.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,270,10.803324,AO1 52027
2016-01-16 00:00:00Z,WSG,49.080,-66.730,1011.6,-8.3,NaN,-10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,260,11.317768,AO1 51017
2016-01-16 00:00:00Z,WSS,45.200,-67.250,1014.1,-12.9,NaN,-13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN,,0,0.0,AO1 2PAST HR SOG 12 8008 50002
