,timeObs,stationName,longitude,latitude,temperature,dewpoint,windDir,windSpeed,seaLevelPress,presWeather,skyCover,skyLayerBase
428,2016-06-22 13:15:00,KL35,-116.856002808,34.263999939,26.0,-1.0,260.0,9.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
429,2016-06-22 13:15:00,KLAM,-106.268997192,35.8800010681,29.0,3.0,120.0,4.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
430,2016-06-22 13:15:00,KLCG,-96.9810028076,42.2420005798,29.0,22.0,350.0,11.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
431,2016-06-22 13:15:00,KLCK,-82.9300003052,39.8300018311,23.0,16.0,240.0,7.0,-9999.0,"['', '', '', '', '']","['OVC', '', '', '', '', '']","[10000.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
432,2016-06-22 13:15:00,KLGC,-85.0729980469,33.0089988708,34.0,21.0,200.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
433,2016-06-22 13:15:00,KLKU,-77.9779968262,38.0110015869,27.0,22.0,230.0,4.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
434,2016-06-22 13:15:00,KLNL,-89.2119979858,46.1539993286,24.0,7.0,270.0,3.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
435,2016-06-22 13:15:00,KLNN,-81.4000015259,41.6399993896,-9999.0,-9999.0,320.0,4.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
436,2016-06-22 13:15:00,KLNP,-82.5299987793,36.9799995422,22.0,17.0,220.0,7.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', 'BKN', '', '', '']","[3100.0, 5000.0, 12000.0, -9999.0, -9999.0, -9999.0]"
437,2016-06-22 13:15:00,KLOM,-75.2649993896,40.1380004883,27.0,10.0,290.0,7.0,-9999.0,"['', '', '', '', '']","['BKN', '', '', '', '', '']","[8500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
